run_accession	sample_accession	experiment_accession	study_accession	sample_title	sample_alias	sample_description	description	library_name	experiment_title	study_title	run_alias	read_count	fastq_ftp	sample_title_x	sample_desc_x	sample_alias_x	label_hits
SRR13489665	SAMN17385218	SRX9902345	PRJNA693337	MIMARKS Survey related sample from human eye metagenome	SS-25_21	Keywords: GSC:MIxS MIMARKS:5.0	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-25_21	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-25_21_L001_R1_001.fastq.gz	38370	ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/065/SRR13489665/SRR13489665_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/065/SRR13489665/SRR13489665_2.fastq.gz	MIMARKS Survey related sample from human eye metagenome	Keywords: GSC:MIxS;MIMARKS:5.0	SS-25_21	rosacea
SRR13489667	SAMN17385216	SRX9902343	PRJNA693337	MIMARKS Survey related sample from human eye metagenome	SS-23_19	Keywords: GSC:MIxS MIMARKS:5.0	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-23_19	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-23_19_L001_R1_001.fastq.gz	61190	ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/067/SRR13489667/SRR13489667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/067/SRR13489667/SRR13489667_2.fastq.gz	MIMARKS Survey related sample from human eye metagenome	Keywords: GSC:MIxS;MIMARKS:5.0	SS-23_19	rosacea
SRR13489670	SAMN17385196	SRX9902340	PRJNA693337	MIMARKS Survey related sample from human eye metagenome	SS-3_91	Keywords: GSC:MIxS MIMARKS:5.0	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-3_91	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-3_91_L001_R1_001.fastq.gz	78574	ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/070/SRR13489670/SRR13489670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/070/SRR13489670/SRR13489670_2.fastq.gz	MIMARKS Survey related sample from human eye metagenome	Keywords: GSC:MIxS;MIMARKS:5.0	SS-3_91	rosacea
SRR13489671	SAMN17385213	SRX9902339	PRJNA693337	MIMARKS Survey related sample from human eye metagenome	SS-20_16	Keywords: GSC:MIxS MIMARKS:5.0	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-20_16	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-20_16_L001_R1_001.fastq.gz	74958	ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/071/SRR13489671/SRR13489671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/071/SRR13489671/SRR13489671_2.fastq.gz	MIMARKS Survey related sample from human eye metagenome	Keywords: GSC:MIxS;MIMARKS:5.0	SS-20_16	rosacea
SRR13489674	SAMN17385210	SRX9902336	PRJNA693337	MIMARKS Survey related sample from human eye metagenome	SS-17_13	Keywords: GSC:MIxS MIMARKS:5.0	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-17_13	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-17_13_L001_R1_001.fastq.gz	130053	ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/074/SRR13489674/SRR13489674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/074/SRR13489674/SRR13489674_2.fastq.gz	MIMARKS Survey related sample from human eye metagenome	Keywords: GSC:MIxS;MIMARKS:5.0	SS-17_13	rosacea
SRR13489675	SAMN17385209	SRX9902335	PRJNA693337	MIMARKS Survey related sample from human eye metagenome	SS-16_12	Keywords: GSC:MIxS MIMARKS:5.0	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-16_12	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-16_12_L001_R1_001.fastq.gz	59821	ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/075/SRR13489675/SRR13489675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/075/SRR13489675/SRR13489675_2.fastq.gz	MIMARKS Survey related sample from human eye metagenome	Keywords: GSC:MIxS;MIMARKS:5.0	SS-16_12	rosacea
SRR13489676	SAMN17385208	SRX9902334	PRJNA693337	MIMARKS Survey related sample from human eye metagenome	SS-15_11	Keywords: GSC:MIxS MIMARKS:5.0	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-15_11	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-15_11_L001_R1_001.fastq.gz	115599	ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/076/SRR13489676/SRR13489676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/076/SRR13489676/SRR13489676_2.fastq.gz	MIMARKS Survey related sample from human eye metagenome	Keywords: GSC:MIxS;MIMARKS:5.0	SS-15_11	rosacea
SRR13489677	SAMN17385207	SRX9902333	PRJNA693337	MIMARKS Survey related sample from human eye metagenome	SS-14_10	Keywords: GSC:MIxS MIMARKS:5.0	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-14_10	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-14_10_L001_R1_001.fastq.gz	90711	ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/077/SRR13489677/SRR13489677_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/077/SRR13489677/SRR13489677_2.fastq.gz	MIMARKS Survey related sample from human eye metagenome	Keywords: GSC:MIxS;MIMARKS:5.0	SS-14_10	rosacea
SRR13489678	SAMN17385206	SRX9902332	PRJNA693337	MIMARKS Survey related sample from human eye metagenome	SS-13_9	Keywords: GSC:MIxS MIMARKS:5.0	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-13_9	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-13_9_L001_R1_001.fastq.gz	108020	ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/078/SRR13489678/SRR13489678_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/078/SRR13489678/SRR13489678_2.fastq.gz	MIMARKS Survey related sample from human eye metagenome	Keywords: GSC:MIxS;MIMARKS:5.0	SS-13_9	rosacea
SRR13489692	SAMN17385263	SRX9902318	PRJNA693337	MIMARKS Survey related sample from human eye metagenome	SS-70_66	Keywords: GSC:MIxS MIMARKS:5.0	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-70_66	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-70_66_L001_R1_001.fastq.gz	173496	ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/092/SRR13489692/SRR13489692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/092/SRR13489692/SRR13489692_2.fastq.gz	MIMARKS Survey related sample from human eye metagenome	Keywords: GSC:MIxS;MIMARKS:5.0	SS-70_66	rosacea
SRR13489694	SAMN17385261	SRX9902316	PRJNA693337	MIMARKS Survey related sample from human eye metagenome	SS-68_64	Keywords: GSC:MIxS MIMARKS:5.0	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-68_64	Illumina MiSeq sequencing: Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	SS-68_64_L001_R1_001.fastq.gz	49380	ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/094/SRR13489694/SRR13489694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/094/SRR13489694/SRR13489694_2.fastq.gz	MIMARKS Survey related sample from human eye metagenome	Keywords: GSC:MIxS;MIMARKS:5.0	SS-68_64	rosacea
